tweet_id,created_at,text,impressions,likes,reposts,quotes,replies,bookmarks
2043469789637591082,2026-04-12 23:22,転職活動って「完璧に準備してから」って思いがちだけど  正直、動きながら整えるしかない  履歴書も面接も、やってみて初めて「ここ弱いな」ってわかる  僕もまだ試,0,0,0,0,0,0
2043280432566002161,2026-04-12 10:49,面接で「なぜ転職を？」って聞かれたら、会社の悪口は絶対言わない。  代わりに使える型がこれ。  「〇〇を経験して、△△に挑戦したいと思った」  過去→未来の流れ,0,0,0,0,0,0
2043280431228051850,2026-04-12 10:49,転職活動467日目。  正直、まだ迷子のまま。  でも毎日調べて、 実際に応募して、 落ちて、また動いて。  気づいたのは 「迷子でも足を動かせば 景色は変わる,3,0,0,0,0,0
2043280430250779119,2026-04-12 10:49,職務経歴書、何書けばいいか分からなくて止まってた  ChatGPTに「未経験でも伝わる書き方教えて」って聞いたら、自分の経験の言語化が進んだ  完璧じゃないけど,0,0,0,0,0,0
2043201018641740149,2026-04-12 05:34,転職サイトに登録して満足してない？  正直、それだけじゃ何も変わらなかった。  登録した自分を褒めて終わり。 求人眺めて比較して終わり。 気づけば3ヶ月経ってた,2,0,0,0,0,0
2043201017765134361,2026-04-12 05:34,転職活動467日目。  正直、まだ「正解」は見つかってない。  でも毎日調べて、試して、 失敗して、また試して。  気づいたのは 「動いた分だけ選択肢が増える」,0,0,0,0,0,0
2043201016427131095,2026-04-12 05:34,面接で「御社で成長したい」って言いがちだけど  正直、採用側は「で、うちに何してくれるの？」って思ってる  だから「〇〇の経験を活かして△△に貢献したい」に変え,0,0,0,0,0,0
2043107085349429689,2026-04-11 23:21,面接で「御社の〇〇に惹かれました」って言えない時あるよね。  正直、調べても響く言葉が出てこない。  そういう時は逆に聞いてみて。  「入社後、最初に任される仕,0,0,0,0,0,0
2042916676698567036,2026-04-11 10:44,転職サイトに登録して満足してない？  正直、僕もそうだった。 登録だけして「いつか見よう」で半年放置。  でも気づいた。 求人は毎日更新されてる。 見てないだけ,1,0,0,0,0,0
2042916675624788128,2026-04-11 10:44,転職活動466日目。  正直、まだ「正解」は見つかってない。  でも毎日調べて、実践して、 失敗も含めて全部記録してきた。  この積み重ねが 少しずつ自分の軸に,0,0,0,0,0,0
2042916674588868629,2026-04-11 10:44,職務経歴書、何書けばいいか分からなくて止まってた  ChatGPTに「未経験でも伝わる書き方教えて」って聞いたら、自分の経験の言語化が一気に進んだ  完璧じゃな,1,0,0,0,0,0
2042832816820400297,2026-04-11 05:11,「完璧に準備してから動こう」  これ、永遠に動けないパターンだった。  準備8割で見切り発車した時の方が 結果的に学びが多かった。  不安なまま動くのが正解なん,0,0,0,0,0,0
2042832815557914812,2026-04-11 05:11,転職活動って正解がわからんまま進むの怖いよな。  俺も最初そうだった。  でも466日間、調べて実践して検証し続けて気づいた。  「動きながら考える」が一番早い,0,0,0,0,0,0
2042832814287040556,2026-04-11 05:11,面接で「御社の〇〇に惹かれました」って言うより、正直に「今の環境で成長できる気がしない」って話した方が刺さることある。  完璧な志望動機より、自分の言葉で話す方,1,0,0,0,0,0
