tweet_id,created_at,text,impressions,likes,reposts,quotes,replies,bookmarks
2038395821394362647,2026-03-29 23:20,「完璧な準備ができてから動く」  これ、一生動けないパターンだった。  正直、今も不安だらけ。 でも動きながら整えていく方が 結局早いって気づいた。  準備8割,0,0,0,0,0,0
2038205448612884657,2026-03-29 10:43,面接で「御社の〇〇に惹かれました」って言えない時あるよな。  正直に言う。 調べても刺さる言葉が出てこない会社は、たぶん合ってない。  逆に自然と言葉が出てくる,0,0,0,0,0,0
2038205447648293368,2026-03-29 10:43,"転職したいって言い続けて もう何ヶ月経った？  「情報収集してから」 「もう少し落ち着いたら」  その""いつか""って永遠に来ないよ。  俺もそうだった。 でも転",0,0,0,0,0,0
2038205446649987293,2026-03-29 10:43,正直、職務経歴書って何書けばいいか分からなかった  ChatGPTに「未経験でも伝わる自己PR作って」って頼んだら、自分じゃ気づかなかった強みが出てきた  完璧,0,0,0,0,0,0
2038124791266177459,2026-03-29 05:23,面接で「なぜ転職したいですか？」って聞かれたら  「今の環境に不満があって」じゃなくて 「こういう経験を積みたくて」に変換してみて  ネガティブな本音はそのまま,0,0,0,0,0,0
2038124790175723800,2026-03-29 05:23,転職サイト15個登録して エージェント8社面談して 書類100社以上出して  やっと気づいた。  「動けば正解が見つかる」 じゃなくて 「動きながら正解を作る」,0,0,0,0,0,0
2038124789001281665,2026-03-29 05:23,職務経歴書、何書けばいいかわからなくて止まってた  ChatGPTに「未経験でも伝わる自己PR作って」って頼んだら、自分の経験から強み引き出してくれた  完璧じ,0,0,0,0,0,0
2038033190666043461,2026-03-28 23:19,転職サイトに登録したまま放置してる人へ  今日やることは1つだけ  「気になる求人を3つ保存する」  応募しなくていい 考えなくていい ただ保存するだけ  これ,0,0,0,0,0,0
2037842335594115510,2026-03-28 10:40,転職活動452日目。  正直、まだ「正解」は見つかってない。  でも400日以上調べて 動いて、失敗して気づいた。  完璧な準備なんて存在しない。 動きながら見,0,0,0,0,0,0
2037842334356844864,2026-03-28 10:40,転職サイト、登録だけして放置してない？  実はそれ、めちゃくちゃもったいない。  スカウト機能オンにして 職務経歴ちゃんと埋めるだけで 届く求人の質が全然変わる,0,0,0,0,0,0
2037842332939096212,2026-03-28 10:40,職務経歴書、何書けばいいかわからなくて止まってた。  ChatGPTに「未経験でも伝わる書き方教えて」って聞いたら、自分の経験の言語化が一気に進んだ。  完璧じ,0,0,0,0,0,0
2037758950045810743,2026-03-28 05:09,「まだ準備が足りない」  そう思って半年経ってない？  正直、俺もずっとそうだった。  でも気づいたんだよ。 準備が整う日なんて来ない。  動きながら整えるしか,0,0,0,0,0,0
2037758948602994747,2026-03-28 05:09,転職活動で「求人サイト眺めるだけ」まだやってる？  正直、俺もそうだった。毎晩なんとなく見て、結局応募ゼロ。  見てるだけじゃ何も変わらないって気づくまで半年か,0,0,0,0,0,0
2037758947076210831,2026-03-28 05:09,面接で「なぜ転職したいんですか？」って聞かれたとき。  正直に言うと印象悪いかも、って濁してた。  でも本当に刺さったのは 「今の環境では叶えられないことがある,0,0,0,0,0,0
2037671230812438613,2026-03-27 23:20,「準備できてから動く」って思ってた。  でも気づいた。 準備が終わる日なんて来ない。  履歴書を完璧にしてから。 スキルを身につけてから。 自信がついてから。 ,0,0,0,0,0,0
2037484018329927695,2026-03-27 10:56,「まず何からやればいい？」って聞かれたら、俺は「転職サイトに登録して、求人を5件だけ見て」って答える。応募しなくていい。ただ見るだけ。それで「意外とあるな」って,0,0,0,0,0,0
